"consulta","documento"
"q01",99
"q01",23
"q01",24
"q01",73
"q01",1
"q01",21
"q01",2
"q01",75
"q02",54
"q02",53
"q02",9
"q02",1
"q02",13
"q02",112
"q02",2
"q02",155
"q02",49
"q02",4
"q03",1
"q03",15
"q03",49
"q03",52
"q03",50
"q03",73
"q03",21
"q04",11
"q04",10
"q04",18
"q04",109
"q04",99
"q04",85
"q04",2
"q05",96
"q05",39
"q05",41
"q05",3
"q05",129
"q06",50
"q06",73
"q06",75
"q06",19
"q06",51
"q06",56
"q06",2
"q07",89
"q07",1
"q07",62
"q07",4
"q07",117
"q08",3
"q08",1
"q08",39
"q08",45
"q08",23
"q08",47
"q08",104
"q09",20
"q09",25
"q09",21
"q09",73
"q09",2
"q09",85
"q09",50
"q10",128
"q10",41
"q10",127
"q10",96
"q10",3
"q10",95
"q10",19
"q10",98
